Site,site.accession,Date,Plot,Tree_Number,tree.accession,Tree_Height
Clunes,DCLU,1/03/2019,6,168,DCLU06168,16.8
Clunes,DCLU,1/03/2019,6,170,DCLU06170,17.2
Clunes,DCLU,1/03/2019,6,177,DCLU06177,11.3
Clunes,DCLU,1/03/2019,6,188,DCLU06188,22.4
Clunes,DCLU,1/03/2019,6,192,DCLU06192,22.8
Clunes,DCLU,1/03/2019,6,196,DCLU06196,21.5
Clunes,DCLU,1/03/2019,7,205,DCLU07205,17.9
Clunes,DCLU,1/03/2019,7,210,DCLU07210,20.4
Clunes,DCLU,1/03/2019,7,214,DCLU07214,20.9
Clunes,DCLU,1/03/2019,7,218,DCLU07218,11.4
Clunes,DCLU,1/03/2019,7,224,DCLU07224,12.5
Clunes,DCLU,1/03/2019,7,239,DCLU07239,20.7
Clunes,DCLU,1/03/2019,8,242,DCLU08242,23.4
Clunes,DCLU,1/03/2019,8,251,DCLU08251,27.5
Clunes,DCLU,1/03/2019,8,253,DCLU08253,23.1
Clunes,DCLU,1/03/2019,8,255,DCLU08255,22.7
Clunes,DCLU,1/03/2019,8,264,DCLU08264,10.5
Clunes,DCLU,1/03/2019,8,266,DCLU08266,12.1
Clunes,DCLU,1/03/2019,9,286,DCLU09286,22.8
Clunes,DCLU,1/03/2019,9,287,DCLU09287,24.1
Clunes,DCLU,1/03/2019,9,291,DCLU09291,17.8
Clunes,DCLU,1/03/2019,9,294,DCLU09294,23.7
Clunes,DCLU,1/03/2019,9,299,DCLU09299,18.4
Clunes,DCLU,1/03/2019,9,303,DCLU09303,22.4
Clunes,DCLU,1/03/2019,10,319,DCLU10319,21.4
Clunes,DCLU,1/03/2019,10,322,DCLU10322,18.1
Clunes,DCLU,1/03/2019,10,324,DCLU10324,20.9
Clunes,DCLU,1/03/2019,10,345,DCLU10345,21.3
Clunes,DCLU,1/03/2019,10,346,DCLU10346,22.1
Clunes,DCLU,1/03/2019,10,349,DCLU10349,20.9
