"","site.code","session","site.accession","subplot","rep","species","N","occ","density","max.tree","mean.tree","mode.tree","sd.tree","Liqr.tree","Uiqr.tree","mean.occtree","mode.occtree","sd.occtree","Liqr.occtree","Uiqr.occtree","tree.count"
"314","DCAN","6","DCAN006","4","DCAN006-4","BFF",137.5,5,0.34375,35.5,2.86458333333333,0,9.07107841728216,0,0,27.5,35.5,10.9544511501033,15.5,35.5,48
"315","DCAN","6","DCAN006","5","DCAN006-5","BFF",154.5,4,0.38625,75.5,5.32758620689655,0,16.3244316582697,0,0,38.625,35.5,27.7920102427538,28.625,45.5,29
"316","DCAN","6","DCAN006","6","DCAN006-6","BFF",3,1,0.0075,3,0.0789473684210526,0,0.486664263392288,0,0,3,3,0,3,3,38
"317","DCAN","6","DCAN006","7","DCAN006-7","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"318","DCAN","6","DCAN006","8","DCAN006-8","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"319","DCAN","6","DCAN006","9","DCAN006-9","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"320","DCAN","6","DCAN006","10","DCAN006-10","BFF",137.5,5,0.34375,35.5,5.09259259259259,0,11.7030872299685,0,0,27.5,35.5,10.9544511501033,15.5,35.5,27
"321","DCAN","7","DCAN007","1","DCAN007-1","BFF",242,4,0.605,75.5,5.90243902439024,0,19.9453063125749,0,0,60.5,75.5,30,60.5,75.5,41
"322","DCAN","7","DCAN007","2","DCAN007-2","BFF",233,6,0.5825,75.5,3.28169014084507,0,12.0811932932277,0,0,38.8333333333333,35.5,19.6638416050035,35.5,35.5,71
"323","DCAN","7","DCAN007","3","DCAN007-3","BFF",35.5,1,0.08875,35.5,0.507142857142857,0,4.2430615631371,0,0,35.5,35.5,0,35.5,35.5,70
"324","DCAN","7","DCAN007","4","DCAN007-4","BFF",245,5,0.6125,150.5,5.10416666666667,0,22.7027410317479,0,0,49,35.5,58.0301645698166,15.5,35.5,48
"325","DCAN","7","DCAN007","5","DCAN007-5","BFF",264.5,4,0.66125,150.5,9.12068965517241,0,31.1719468582885,0,0,66.125,35.5,63.5863913637711,27.375,94.25,29
"326","DCAN","7","DCAN007","6","DCAN007-6","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"327","DCAN","7","DCAN007","7","DCAN007-7","BFF",3,1,0.0075,3,0.130434782608696,0,0.625543242171224,0,0,3,3,0,3,3,23
"328","DCAN","7","DCAN007","8","DCAN007-8","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"329","DCAN","7","DCAN007","9","DCAN007-9","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"330","DCAN","7","DCAN007","10","DCAN007-10","BFF",471,7,1.1775,150.5,17.4444444444444,0,41.883155539533,0,4,67.2857142857143,35.5,60.7370405538342,25.5,113,27
"331","DCAN","8","DCAN008","1","DCAN008-1","BFF",39,3,0.0975,15.5,0.951219512195122,0,3.56160932383238,0,0,13,15.5,4.33012701892219,11.75,15.5,41
"332","DCAN","8","DCAN008","2","DCAN008-2","BFF",11,2,0.0275,8,0.154929577464789,0,1.00921309266101,0,0,5.5,3,3.53553390593274,4.25,6.75,71
"333","DCAN","8","DCAN008","3","DCAN008-3","BFF",6,2,0.015,3,0.0857142857142857,0,0.503404558052788,0,0,3,3,0,3,3,70
"334","DCAN","8","DCAN008","4","DCAN008-4","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"335","DCAN","8","DCAN008","5","DCAN008-5","BFF",26.5,3,0.06625,15.5,0.913793103448276,0,3.21288968041577,0,0,8.83333333333333,15.5,6.29152869605896,5.5,11.75,29
"336","DCAN","8","DCAN008","6","DCAN008-6","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"337","DCAN","8","DCAN008","7","DCAN008-7","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"338","DCAN","8","DCAN008","8","DCAN008-8","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"339","DCAN","8","DCAN008","9","DCAN008-9","BFF",6,2,0.015,3,0.0967741935483871,0,0.534381131849926,0,0,3,3,0,3,3,62
"340","DCAN","8","DCAN008","10","DCAN008-10","BFF",107,9,0.2675,35.5,3.96296296296296,0,8.1144765293104,0,3,11.8888888888889,3,10.3916365944499,3,15.5,27
"341","DCAN","9","DCAN009","1","DCAN009-1","BFF",51.5,3,0.12875,35.5,1.25609756097561,0,5.7523060063112,0,0,17.1666666666667,8,15.8771324027147,8,21.75,41
"342","DCAN","9","DCAN009","2","DCAN009-2","BFF",20,5,0.05,8,0.28169014084507,0,1.16107214727902,0,0,4,3,2.23606797749979,3,3,71
"343","DCAN","9","DCAN009","3","DCAN009-3","BFF",8,1,0.02,8,0.114285714285714,0,0.956182887467515,0,0,8,8,0,8,8,70
"344","DCAN","9","DCAN009","4","DCAN009-4","BFF",82,4,0.205,35.5,1.70833333333333,0,6.25846943879349,0,0,20.5,15.5,10,15.5,20.5,48
"345","DCAN","9","DCAN009","5","DCAN009-5","BFF",122,9,0.305,35.5,4.20689655172414,0,7.99052702689176,0,8,13.5555555555556,8,8.99459714371788,8,15.5,29
"346","DCAN","9","DCAN009","6","DCAN009-6","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"347","DCAN","9","DCAN009","7","DCAN009-7","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"348","DCAN","9","DCAN009","8","DCAN009-8","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"349","DCAN","9","DCAN009","9","DCAN009-9","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"350","DCAN","9","DCAN009","10","DCAN009-10","BFF",147,9,0.3675,35.5,5.44444444444444,0,10.3090077614502,0,5.5,16.3333333333333,15.5,12.0545634512412,8,15.5,27
"351","DCAN","10","DCAN010","1","DCAN010-1","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"352","DCAN","10","DCAN010","2","DCAN010-2","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"353","DCAN","10","DCAN010","3","DCAN010-3","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"354","DCAN","10","DCAN010","4","DCAN010-4","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"355","DCAN","10","DCAN010","5","DCAN010-5","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"356","DCAN","10","DCAN010","6","DCAN010-6","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"357","DCAN","10","DCAN010","7","DCAN010-7","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"358","DCAN","10","DCAN010","8","DCAN010-8","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"359","DCAN","10","DCAN010","9","DCAN010-9","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"360","DCAN","10","DCAN010","10","DCAN010-10","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"361","DCAN","11","DCAN011","1","DCAN011-1","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"362","DCAN","11","DCAN011","2","DCAN011-2","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"363","DCAN","11","DCAN011","3","DCAN011-3","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"364","DCAN","11","DCAN011","4","DCAN011-4","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"365","DCAN","11","DCAN011","5","DCAN011-5","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"366","DCAN","11","DCAN011","6","DCAN011-6","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"367","DCAN","11","DCAN011","7","DCAN011-7","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"368","DCAN","11","DCAN011","8","DCAN011-8","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"369","DCAN","11","DCAN011","9","DCAN011-9","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"370","DCAN","11","DCAN011","10","DCAN011-10","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"371","DCAN","12","DCAN012","1","DCAN012-1","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"372","DCAN","12","DCAN012","2","DCAN012-2","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"373","DCAN","12","DCAN012","3","DCAN012-3","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"374","DCAN","12","DCAN012","4","DCAN012-4","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"375","DCAN","12","DCAN012","5","DCAN012-5","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"376","DCAN","12","DCAN012","6","DCAN012-6","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"377","DCAN","12","DCAN012","7","DCAN012-7","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"378","DCAN","12","DCAN012","8","DCAN012-8","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"379","DCAN","12","DCAN012","9","DCAN012-9","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"380","DCAN","12","DCAN012","10","DCAN012-10","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"381","DCAN","13","DCAN013","1","DCAN013-1","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"382","DCAN","13","DCAN013","2","DCAN013-2","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"383","DCAN","13","DCAN013","3","DCAN013-3","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"384","DCAN","13","DCAN013","4","DCAN013-4","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"385","DCAN","13","DCAN013","5","DCAN013-5","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"386","DCAN","13","DCAN013","6","DCAN013-6","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"387","DCAN","13","DCAN013","7","DCAN013-7","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"388","DCAN","13","DCAN013","8","DCAN013-8","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"389","DCAN","13","DCAN013","9","DCAN013-9","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"390","DCAN","13","DCAN013","10","DCAN013-10","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"391","DCLU","1","DCLU001","1","DCLU001-1","BFF",72.5,5,0.18125,35.5,5.17857142857143,0,10.3154237447119,0,3,14.5,3,13.2994360782704,3,15.5,14
"392","DCLU","1","DCLU001","2","DCLU001-2","BFF",101.5,13,0.25375,35.5,2.20652173913043,0,6.07689256021577,0,3,7.80769230769231,3,9.54493421825259,3,8,46
"393","DCLU","1","DCLU001","3","DCLU001-3","BFF",3,1,0.0075,3,0.103448275862069,0,0.557086014531156,0,0,3,3,0,3,3,29
"394","DCLU","1","DCLU001","4","DCLU001-4","BFF",3,1,0.0075,3,0.09375,0,0.530330085889911,0,0,3,3,0,3,3,32
